TIC,Orbital Period Value,Orbital Period Error,Orbital Epoch Value,Full TOI ID,Group Disposition,Public Comment
445805961,24.28313,0.00142,1836.96496,1710.01,PC,TFOP under investigation
461662295,10.2558,0.0046,1844.85466,1711.01,PC,Gaia RV error is 7 km/s; check for secondaries; period could be 2x; observed transits could be secondaries
67926921,3.56681,0.00033,1843.665,1712.01,PC,Hot host star; the planet could be inflated because of the high stellar insolation; Gaia parallax is 1.7
15863518,0.557201,4.1e-05,1842.712088,1713.01,PC,v-shaped
239154970,3.474469,9.9e-05,1845.989739,1714.01,KP,HAT-P-33 b
142090065,2.827591,0.000232,1816.93698,1715.01,PC,centroid offset < 3sigma on TIC 142090063; need SG1 to check
14336130,8.088417,0.001661,1843.846037,1716.01,PC,Slight depth-aperture correlation; small planet candidate
149833117,4.052173,0.000117,1843.547331,1717.01,PC,star has pulsation pattern
257241363,5.586947,0.000372,1848.027133,1718.01,PC,
293617835,2.756792,0.000348,1844.193788,1719.01,PC,
356473034,2.615826,8.2e-05,1843.218679,1720.01,KP,XO-2 N b
51234631,4.124878,0.000142,1846.130168,1721.01,KP,XO-4 B
85242435,9.606666,0.0013,1844.1106,1722.01,PC,Possible secondary 
71431780,13.716057,0.004099,1852.707062,1723.01,PC,
81212286,0.685081,9.9e-05,1843.027821,1724.01,PC,centroid offset towards a brighter star (TIC 81212289).
86396382,1.09141,1.6e-05,1843.005184,1725.01,KP,WASP-12b
130181866,7.108153,0.000651,1845.372818,1726.01,PC,
241225337,1.832792,0.000359,1842.639667,1727.01,PC,
285048486,3.491567,0.000141,1843.274889,1728.01,PC,
298666530,0.573209,5.9e-05,1842.505715,1729.01,PC,Possible planet around a white dwarf!
318022259,6.222236,0.001142,1844.381227,1730.01,PC,odd-even difference but three transit events might be due to  two different planets one at 12.4 days and the other at longer period 
318022259,2.155669,0.000454,1844.579827,1730.02,PC,second candidate in the system
371234684,3.923003,0.000196,1842.839676,1731.01,KP,HAT-P-9b
470987100,4.121356,0.000813,1843.294736,1732.01,PC,
53427308,5.80322,0.00192,1844.7654,1733.01,PC,Small depth-aperture correlation; odd/even not reliable because fit fails; short transit duration for a big star; steep ingress and shallow egress could be due to disintegrating planet
356311210,18.055717,0.000678,1689.785487,1261.01,PC,marginally not a L1 candidate (R~ 4Re)
229940491,37.460106,0.000999,1699.059682,1642.01,PC,Second transit affected by noise at the end of sector; large planet; possibly EB
198390247,4.313222,0.000185,1685.482183,1453.02,PC,Low SNR
219852882,1.762233,2.6e-05,1684.537556,1346.02,PC,Candidate interior to TOI 1346.01 (5.5d). check for TTVs. Contaminating bright star 1 pixel away.
229650439,9.427131,0.000267,1689.921372,1438.02,PC,Outer planet in a TOI multi-planet system
198241702,9.239092,0.000461,1685.968582,1269.02,PC,Level 1 candidate
130181866,20.545913,0.001474,1844.057705,1726.02,PC,multi
224596152,28.87226,0.001696,1688.861624,1734.01,PC,S19 centroid offset towards nearby star 
365673804,10.385193,0.000487,1713.45307,1735.01,PC,Crowded field; possible secondary; scattered light
408618999,7.074152,0.00117,1792.788149,1736.01,PC,centroid in S19 is near another star but on target in S18
233009109,14.446534,0.000906,1717.00621,1737.01,PC,potential L1 candidate; low snr
104208182,3.697386,0.00041,1792.660607,1738.01,PC,Possible odd-even
159418353,8.303966,0.000208,1685.227822,1739.01,PC,L1 candidate
174041208,19.428419,0.003716,1741.058614,1740.01,PC,period could be 2x
198206613,10.941661,0.000627,1692.38163,1741.01,PC,scattered light; only S17 and S15 centroids are off
219857012,21.272109,0.001143,1725.335872,1742.01,PC,S17 centroid offet caused by scattered light
219860288,4.265874,8.4e-05,1713.431202,1743.01,PC,v-shaped
229455001,22.342014,0.001736,1701.929186,1744.01,PC,centroid offset in some sectors
232635922,5.985568,0.00017,1683.922079,1745.01,PC,Could be stellar variability
232650365,2.525267,5.6e-05,1684.786413,1746.01,PC,V-shaped; possible secondary; another nearby star of similar brightness in the pixel
233071822,2.754667,6e-05,1684.972995,1747.01,PC,low SNR
233071926,1.831811,4e-05,1684.233976,1748.01,PC,check TIC 233071927; minor flux depth aperture correlation; possibly stellar variability
233602827,4.489235,0.000131,1685.935806,1749.01,PC,multi with second planet in 2:1 resonance
233602827,9.046152,0.000301,1688.77339,1749.02,PC,2:1 resonance; multi
237099296,11.337809,0.000607,1688.826503,1750.01,PC,Level 1 candidate
287080092,37.473479,0.003289,1733.629417,1751.01,PC,potential L1 candidate
287139872,0.935143,1.7e-05,1683.595243,1752.01,PC,potential L1 candidate
289580577,5.384942,0.000277,1684.50377,1753.01,PC,potential L1 candidate
332477926,16.217297,0.00074,1689.924201,1754.01,PC,level 1 candidate
356978132,60.186956,0.000813,1718.900701,1755.01,PC,v-shaped; grazing
364074068,2.78351,0.000263,1764.846661,1756.01,PC,v-shaped
367753709,2.125617,5.9e-05,1685.204332,1757.01,PC,
367858035,20.703854,0.003492,1806.698917,1758.01,PC,L1 candidate
408636441,37.696127,0.002089,1745.467287,1759.01,PC,Period could be half
420112587,11.062666,0.00049,1691.531496,1760.01,PC,v-shaped; close visual binary
424391516,11.5919,0.000816,1694.803941,1761.01,PC,potential L1 candidate; low SNR
435680451,24.149899,0.00407,1810.918242,1762.01,PC,
441739871,3.79794,9.7e-05,1684.785022,1763.01,PC,Slight odd-even at 1.7 sigma
1551345500,47.386525,0.000612,1701.527632,1764.01,PC,v-shaped; possibly EB
350618622,5.849173,9.8e-05,1327.244194,201.02,PC,
167415965,9.695722,0.000146,1332.494505,214.02,PC,possibly has TTVs
150030205,39.361081,0.000603,1344.380542,286.02,PC,part of multi-planet system
230386259,11.00468,0.00064,1690.60671,1785.01,PC,TOI 1785 under investigation by TFOP
86280613,9.5727,0.00044,1851.5904,1786.01,PC,v shaped
372730331,8.70431,0.00041,1870.69001,1787.01,PC,large; v-shaped; likely EB
450327768,5.34326,0.00028,1875.04671,1788.01,PC,
172518755,3.20875,0.00027,1873.65344,1789.01,PC,v-shaped; large; some centroid offset
310981412,9.62517,0.00067,1684.16048,1790.01,PC,2.3 sigma odd-even
233684293,48.47912,0.00561,1688.99753,1791.01,PC,only 4 transits; possibly stellar variability
29191596,8.81866,0.00644,1871.16344,1792.01,PC,multiple stars in target pixel; potential centroid offset; low SNR
272672133,3.493918,6.9e-05,1872.514544,1765.01,PC,TFOP under investigation
4897275,16.710042,0.00328,1872.341155,1774.01,PC,
9348006,10.240374,0.001254,1877.564676,1775.01,PC,
