rowid,TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
749,176831592,PC,PC,26.012814,4,some odd-even,463.01,PC,1411.535068,9.7e-05,1.2668760000000001,some odd-even
750,176860064,PC,FP,35.813244,17,No information on the star; V-shaped,1457.01,FP,1766.3593649999998,0.0007,6.375556,No information on the star; V-shaped
751,176899385,KP,KP,176.0,"16,17",HAT-P-6 b,1373.01,KP,1740.1887100000001,5e-05,3.8528800000000003,HAT-P-6 b
752,176957796,,FA,8.547472,1,,137.01,FA,1327.369003,0.001436,4.819018,
753,176984236,EB,FP,76.0,4,possible EB on 176984248; small possible secondary eclipse,405.01,FP,1326.54565,2e-05,1.75617,possible EB on 176984248; small possible secondary eclipse
754,177077336,PC,PC,8.927436,"2,3,4,5,6",needs SG1 to check if on target or neighbors,723.01,PC,1355.35125,4.2e-05,1.418067,needs SG1 to check if on target or neighbors
755,177115354,PC,PC,7.925505,"5,6,7,8,10,13",Low SNR,1226.01,PC,1438.45498,8.9e-05,3.9286809999999996,Low SNR
756,177126182,PC,PC,19.0,7,Potentially Jupiter-sized planet around 2.31 Rsun star (stellar radius from Exo-FOP); centroid shift in X direction; potential blend (BEB or diluted planet); needs SG1 follow-up,982.01,PC,1497.37581,0.0029,6.30607,Potentially Jupiter-sized planet around 2.31 Rsun star (stellar radius from Exo-FOP); centroid shift in X direction; potential blend (BEB or diluted planet); needs SG1 follow-up
757,177162886,PC,PC,33.229832,12,Large; only two transits,899.01,PC,1326.48307,0.0018670000000000002,12.84577,Large; only two transits
758,177244357,PC,PC,10.0,17,Low priority; other very long transit-like features in the raw light curve; period could be double,1538.01,PC,1768.84707,0.00492,6.54692,Low priority; other very long transit-like features in the raw light curve; period could be double
759,177258735,PC,PC,10.466955,"1,2,3,4,6,7,8,9,10,11,12,13",low S/N; possible odd even in the modshift tests and a crowded field point to a possible NEB.,801.01,PC,1325.6295890000001,1e-05,0.7756970000000001,low S/N; possible odd even in the modshift tests and a crowded field point to a possible NEB.
760,177722855,PC,PC,16.0,7,shoulders on ingress and egress,971.01,PC,1492.2665,0.00116,2.3893299999999997,shoulders on ingress and egress
761,178155732,PC,CP,13.0,4,HR 858 c; follow-up in progress,396.01,CP,1415.634283,0.000771,5.9718800000000005,follow-up in progress
762,178284730,KP,KP,231.78099100000003,"4,5",WASP 140b; this planet contaminates 178284729 in spoc-s01s06-b02,418.01,KP,1412.697299,1e-05,2.235982,WASP 140b; this planet contaminates 178284729 in spoc-s01s06-b02
763,178289267,KP,KP,173.0,"4,5",,1936.01,KP,1413.1629300000006,8e-05,2.35069,
764,178367144,PC,KP,173.0,7,could be on TIC 178367145,966.01,KP,1492.88976,0.00011,3.4093,could be on TIC 178367145
765,178709444,PC,PC,26.442852,10,Likely EB,762.01,PC,1572.6788179999999,0.00024700000000000004,3.471635,Likely EB
766,178819686,PC,CP,9.511419,10,,763.01,CP,1572.102845,0.0010869999999999999,5.604813,
767,178879588,KP,KP,30.0,5,,1900.01,KP,1439.38832,0.00053,3.0554799999999998,
768,179034327,PC,PC,12.197445,"4,5",,444.01,PC,1417.6041380000001,0.0014349999999999999,17.96347,
769,179155220,PC,FP,129.0,7,short period and V-shaped,964.01,FP,1491.88882,2e-05,0.6027399999999999,short period and V-shaped
770,179159972,PC,FP,21.0,7,check TIC 179159990,965.01,FP,1491.95227,0.00035,1.37101,check TIC 179159990
771,179308757,PC,PC,10.889663,"2,3,4,5,6,7,8,9",very crowded field; possible odd-even,800.01,PC,1354.965577,2e-05,0.965923,very crowded field; possible odd-even
772,179317684,PC,CP,198.0,"1,2,3,4,5,6,8,9,10,11,12,13",,163.01,CP,1328.8822,1e-05,4.23115,
773,179319057,PC,PC,10.0,11,,1961.01,PC,1601.46973,0.00231,6.700360000000001,
774,179985715,PC,PC,8.842849000000003,2,centroid offset not significant.,249.01,PC,1359.540377,0.002144,6.6131470000000006,centroid offset not significant.
775,180145006,PC,PC,26.0,"2,3",,312.01,PC,1357.54604,0.00035,3.54112,
776,180285396,,,24.0,"2,3",V-shaped3,292.01,PC,1363.14559,0.00105,10.36652,V-shaped3
777,180652891,PC,FP,34.0,23,V-shaped; grazing,1857.01,FP,1929.13045,4e-05,0.77612,V-shaped; grazing
778,180695581,PC,PC,10.166403,22,active star,1807.01,PC,1899.346311,4.3e-05,0.549343,active star
779,180987952,PC,PC,21.0,"8,9",,581.01,PC,1518.60799,0.0003,1.38846,
780,181159386,PC,FP,75.774712,10,Possible EB,764.01,FP,1574.5833109999999,0.00039,5.631942,Possible EB
